id	name	name_cn	kind	lvl	lvl_req	group	mod	param	min	max	freq	class_only	class	item_types	etypes
1	Sturdy	防御强化 20~30	pre	4	3	101	ac%	0	20	30	0	0		armo	
2	Strong	防御强化 31~40	pre	9	6	101	ac%	0	31	40	0	0		armo	
3	Devious	red-mag 1	pre	7	5	103	red-mag	0	1	1	0	0		shld	
4	Jagged	伤害强化 10~20	pre	1	1	106	dmg%	0	10	20	0	0		weap	
5	Deadly	伤害强化 21~30	pre	5	3	106	dmg%	0	21	30	0	0		weap	
6	Vicious	伤害强化 31~40	pre	8	6	106	dmg%	0	31	40	0	0		weap	
7	Vulpine	dmg-to-mana 10	pre	9	6	107	dmg-to-mana	0	10	10	0	0		shld;amul	
8	Bronze	命中 10~20	pre	1	1	111	att	0	10	20	0	0		weap;ring;glov;amul	
9	Iron	命中 21~40	pre	4	3	111	att	0	21	40	0	0		weap;ring	
10	Steel	命中 41~60	pre	8	6	111	att	0	41	60	0	0		weap;ring	
11	Silver	命中 61~80	pre	12	9	111	att	0	61	80	0	0		weap;ring	
12	Sharp	命中 10~20	pre	5	3	112	att	0	10	20	0	0		weap	
13	Fine	命中 21~40	pre	9	6	112	att	0	21	40	0	0		weap	
14	Fortuitous	提升魔法物品几率 10~15	pre	5	3	114	mag%	0	10	15	0	0		ring;amul	
15	Glimmering	光照范围 1	pre	1	1	116	light	0	1	1	0	0		armo;wand;staf;ring;amul	
16	Glowing	光照范围 2	pre	6	4	116	light	0	2	2	0	0		armo;wand;staf;ring;amul	
17	Lizard's	法力 1~5	pre	3	2	118	mana	0	1	5	0	0		armo;ring;amul;rod	boot;glov
18	Snake's	法力 5~10	pre	6	4	118	mana	0	5	10	0	0		shld;rod;belt;ring;amul	
19	Azure	冰冷抗性 5~10	pre	5	3	121	res-cold	0	5	10	0	0		armo;rod;miss;ring;amul	
20	Lapis	冰冷抗性 11~20	pre	12	9	121	res-cold	0	11	20	0	0		armo;ring;amul;rod	
21	Crimson	火焰抗性 5~10	pre	5	3	122	res-fire	0	5	10	0	0		armo;rod;miss;ring;amul;amul	
22	Burgundy	火焰抗性 11~20	pre	12	9	122	res-fire	0	11	20	0	0		armo;rod;ring;amul;amul	
23	Ocher	闪电抗性 5~10	pre	5	3	123	res-ltng	0	5	10	0	0		armo;rod;ring;amul;miss	
24	Tangerine	闪电抗性 11~20	pre	12	9	123	res-ltng	0	11	20	0	0		armo;ring;amul;rod	
25	Beryl	毒素抗性 5~10	pre	5	3	124	res-pois	0	5	10	0	0		armo;ring;amul;scep;staf;miss	
26	Jade	毒素抗性 11~20	pre	12	9	124	res-pois	0	11	20	0	0		armo;ring;amul;scep;staf	
27	Triumphant	mana-kill 1	pre	3	2	132	mana-kill	0	1	1	0	0		mele;ring	
28	Stout	防御 3~5	pre	1	1	101	ac	0	3	5	4	0		lcha	
29	Stout	防御 6~9	pre	7	5	101	ac	0	6	9	4	0		lcha	
30	Stout	防御 10~12	pre	12	9	101	ac	0	10	12	4	0		lcha	
31	Stout	防御 2~3	pre	1	1	101	ac	0	2	3	4	0		mcha	
32	Stout	防御 1	pre	1	1	101	ac	0	1	1	4	0		scha	
33	Blanched	防御 5~8	pre	1	1	101	ac	0	5	8	4	0		jewl	
34	Sturdy	防御强化 10~20	pre	1	1	101	ac%	0	10	20	9	0		armo	
35	Sturdy	防御强化 21~30	pre	4	3	101	ac%	0	21	30	9	0		armo	
36	Strong	防御强化 31~40	pre	9	6	101	ac%	0	31	40	8	0		armo	
37	Scarlet	最小伤害 1~4	pre	8	6	103	dmg-min	0	1	4	4	0		jewl	
38	Carbuncle	最大伤害 1~5	pre	12	9	104	dmg-max	0	1	5	4	0		jewl	
39	Jagged	伤害强化 10~20	pre	1	1	105	dmg%	0	10	20	9	0		weap;circ	staf;wand;orb
40	Deadly	伤害强化 21~30	pre	5	3	105	dmg%	0	21	30	9	0		weap;circ	staf;wand;orb
41	Vicious	伤害强化 31~40	pre	8	6	105	dmg%	0	31	40	8	0		weap	staf;wand;orb
42	Cinnabar	伤害强化 5~10	pre	1	1	105	dmg%	0	5	10	4	0		jewl	
43	Vulpine	dmg-to-mana 7~12	pre	9	6	107	dmg-to-mana	0	7	12	3	0		shld;amul;orb;staf	
44	Dun	dmg-to-mana 7~12	pre	7	5	107	dmg-to-mana	0	7	12	3	0		jewl	
45	Tireless	regen-stam 25	pre	6	4	108	regen-stam	0	25	25	4	0		boot	
