id	name	code	source	type	subtype	grid_w	grid_h	lvl_req	item_level	str_req	dex_req	dmg_min	dmg_max	dmg2_min	dmg2_max	str_bonus	dex_bonus	mis_min	mis_max	def_min	def_max	block	price	stack	min_stack	max_stack	two_handed	one_or_two	speed	sockets	belt_slots	quest
1	手斧	hax	weap	axe	1hs	1	3	0	3	0	0	3	6	0	0	100	0	0	0	0	0	0	170	0	0	0	0	0	0	2	0	0
2	斧	axe	weap	axe	1hs	2	3	0	7	32	0	4	11	0	0	100	0	0	0	0	0	0	403	0	0	0	0	0	10	4	0	0
3	大斧	lax	weap	axe	stf	2	3	0	6	35	0	6	13	6	13	100	0	0	0	0	0	0	354	0	0	0	1	0	-10	4	0	0
4	阔斧	bax	weap	axe	stf	2	3	0	12	48	0	10	18	10	18	100	0	0	0	0	0	0	806	0	0	0	1	0	0	5	0	0
5	法杖	wnd	weap	wand	1hs	1	2	0	2	0	0	2	4	0	0	100	0	0	0	0	0	0	205	0	0	0	0	0	0	1	0	0
6	紫杉木法杖	ywn	weap	wand	1hs	1	2	0	12	0	0	2	8	0	0	100	0	0	0	0	0	0	745	0	0	0	0	0	10	1	0	0
7	木棒	clb	weap	club	1hs	1	3	0	1	0	0	1	6	0	0	100	0	0	0	0	0	0	32	0	0	0	0	0	-10	2	0	0
8	权杖	scp	weap	scep	1hs	1	3	0	3	25	0	6	11	0	0	100	0	0	0	0	0	0	350	0	0	0	0	0	0	2	0	0
9	尖刺棒	spc	weap	club	1hs	1	3	0	4	0	0	5	8	0	0	100	0	0	0	0	0	0	225	0	0	0	0	0	0	2	0	0
10	钉头锤	mac	weap	mace	1hs	1	3	0	8	27	0	3	10	0	0	100	0	0	0	0	0	0	463	0	0	0	0	0	0	2	0	0
11	短剑	ssd	weap	swor	1hs	1	3	0	1	0	0	2	7	0	0	100	0	0	0	0	0	0	72	0	0	0	0	0	0	2	0	0
12	弯刀	scm	weap	swor	1hs	1	3	0	5	0	21	2	6	0	0	100	0	0	0	0	0	0	274	0	0	0	0	0	-20	2	0	0
13	军刀	sbr	weap	swor	1hs	1	3	0	8	25	25	3	8	0	0	100	0	0	0	0	0	0	466	0	0	0	0	0	-10	2	0	0
14	弯月刀	flc	weap	swor	1hs	1	3	0	11	33	0	9	17	0	0	100	0	0	0	0	0	0	683	0	0	0	0	0	20	2	0	0
15	水晶剑	crs	weap	swor	1hs	2	3	0	11	43	0	5	15	0	0	100	0	0	0	0	0	0	2127	0	0	0	0	0	0	6	0	0
16	双手剑	2hs	weap	swor	1hs	1	4	0	10	35	27	2	9	8	17	100	0	0	0	0	0	0	644	0	0	0	1	1	0	3	0	0
17	匕首	dgr	weap	knif	1ht	1	2	0	3	0	0	1	4	0	0	75	75	0	0	0	0	0	60	0	0	0	0	0	-20	1	0	0
18	德克短剑	dir	weap	knif	1ht	1	2	0	9	0	25	3	9	0	0	75	75	0	0	0	0	0	532	0	0	0	0	0	0	1	0	0
19	投掷小刀	tkf	weap	tkni	1ht	1	2	0	2	0	21	2	3	0	0	75	75	4	9	0	0	0	6	1	40	160	0	0	0	0	0	0
20	投掷斧	tax	weap	taxe	1hs	1	2	0	7	0	40	4	7	0	0	75	75	8	12	0	0	0	11	1	16	130	0	0	10	0	0	0
21	标枪	jav	weap	jave	1ht	1	3	0	1	0	0	1	5	0	0	75	75	6	14	0	0	0	5	1	30	60	0	0	-10	0	0	0
22	重标枪	pil	weap	jave	1ht	1	3	0	10	0	45	4	9	0	0	75	75	7	20	0	0	0	18	1	25	50	0	0	0	0	0	0
23	长矛	spr	weap	spea	2ht	2	4	0	5	0	20	3	15	3	15	100	0	0	0	0	0	0	300	0	0	0	1	0	-10	3	0	0
24	三叉戟	tri	weap	spea	2ht	2	4	0	9	38	24	9	15	9	15	100	0	0	0	0	0	0	683	0	0	0	1	0	0	4	0	0
25	长柄斧	bar	weap	pole	stf	2	4	0	5	40	0	1	27	1	27	100	0	0	0	0	0	0	302	0	0	0	1	0	10	3	0	0
26	大砍刀	vou	weap	pole	stf	2	4	0	11	50	0	6	21	6	21	100	0	0	0	0	0	0	611	0	0	0	1	0	0	4	0	0
27	短杖	sst	weap	staf	stf	1	3	0	1	0	0	1	5	1	5	100	0	0	0	0	0	0	168	0	0	0	1	0	-10	2	0	0
28	长杖	lst	weap	staf	stf	1	4	0	8	0	0	2	8	2	8	100	0	0	0	0	0	0	463	0	0	0	1	0	0	3	0	0
29	扭曲法杖	cst	weap	staf	stf	1	4	0	12	0	0	4	12	4	12	100	0	0	0	0	0	0	766	0	0	0	1	0	10	4	0	0
30	短弓	sbw	weap	bow	bow	2	3	0	1	0	15	1	4	1	4	0	100	0	0	0	0	0	100	0	0	0	1	0	5	3	0	0
31	猎人之弓	hbw	weap	bow	bow	2	3	0	5	0	28	2	6	2	6	0	100	0	0	0	0	0	350	0	0	0	1	0	-10	4	0	0
32	长弓	lbw	weap	bow	bow	2	4	0	8	22	19	3	10	3	10	0	100	0	0	0	0	0	490	0	0	0	1	0	0	5	0	0
33	复合弓	cbw	weap	bow	bow	2	3	0	12	25	35	4	8	4	8	0	100	0	0	0	0	0	727	0	0	0	1	0	-10	4	0	0
34	轻弩	lxb	weap	xbow	xbw	2	3	0	6	21	27	6	9	6	9	0	100	0	0	0	0	0	803	0	0	0	1	0	-10	3	0	0
35	窒息毒气药水	gpl	weap	tpot	1ht	1	1	6	8	0	0	0	1	0	0	0	0	0	0	0	0	0	40	1	3	25	0	0	0	0	0	0
36	爆裂药水	opl	weap	tpot	1ht	1	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	24	1	3	25	0	0	0	0	0	0
37	拳刃	ktr	weap	h2h	ht1	1	3	0	1	20	20	4	7	0	0	75	75	0	0	0	0	0	72	0	0	0	0	0	-10	2	0	0
38	腕刃	wrb	weap	h2h	ht1	1	3	0	9	33	33	5	9	0	0	75	75	0	0	0	0	0	220	0	0	0	0	0	0	2	0	0
39	短斧爪	axf	weap	h2h	ht1	1	3	0	12	37	37	2	15	0	0	75	75	0	0	0	0	0	466	0	0	0	0	0	10	2	0	0
40	鹰眼宝珠	ob1	weap	orb	1hs	1	2	0	1	0	0	2	5	0	0	100	0	0	0	0	0	0	168	0	0	0	0	0	-10	4	0	0
41	神圣球体	ob2	weap	orb	1hs	1	2	0	8	0	0	3	8	0	0	100	0	0	0	0	0	0	463	0	0	0	0	0	-10	4	0	0
42	烟晶球	ob3	weap	orb	1hs	1	2	8	12	0	0	4	10	0	0	100	0	0	0	0	0	0	766	0	0	0	0	0	0	4	0	0
43	帽子	cap	armo	helm		2	2	0	1	0	0	0	0	0	0	0	0	0	0	3	5	0	64	0	0	0	0	0	0	2	0	0
44	骷髅帽	skp	armo	helm		2	2	0	5	15	0	0	0	0	0	0	0	0	0	8	11	0	441	0	0	0	0	0	0	2	0	0
45	盔	hlm	armo	helm		2	2	0	11	26	0	0	0	0	0	0	0	0	0	15	18	0	1558	0	0	0	0	0	0	2	0	0
46	缝制甲	qui	armo	tors		2	3	0	1	12	0	0	0	0	0	0	0	0	0	8	11	0	140	0	0	0	0	0	0	2	0	0
47	皮甲	lea	armo	tors		2	3	0	3	15	0	0	0	0	0	0	0	0	0	14	17	0	481	0	0	0	0	0	0	2	0	0
48	硬皮甲	hla	armo	tors		2	3	0	5	20	0	0	0	0	0	0	0	0	0	21	24	0	1060	0	0	0	0	0	0	2	0	0
49	镶钉皮甲	stu	armo	tors		2	3	0	8	27	0	0	0	0	0	0	0	0	0	32	35	0	2385	0	0	0	0	0	0	2	0	0
50	锁环甲	rng	armo	tors		2	3	0	11	36	0	0	0	0	0	0	0	0	0	45	48	0	4428	0	0	0	0	0	5	3	0	0
51	圆盾	buc	armo	shie		2	2	0	1	12	0	0	0	0	0	100	0	0	0	4	6	0	68	0	0	0	0	0	0	1	0	0
52	小盾	sml	armo	shie		2	2	0	5	22	0	0	0	0	0	100	0	0	0	8	10	5	410	0	0	0	0	0	0	2	0	0
