id	class	tree	name	code	official_id	req_level	max_level	req_skill	skill_points	mana_cost	mana_per_lvl	dmg_min	dmg_max	phys_min	phys_max	elem_min	elem_max	phys_min_lev1	phys_min_lev2	phys_min_lev3	phys_min_lev4	phys_min_lev5	phys_max_lev1	phys_max_lev2	phys_max_lev3	phys_max_lev4	phys_max_lev5	elem_min_lev1	elem_min_lev2	elem_min_lev3	elem_min_lev4	elem_min_lev5	elem_max_lev1	elem_max_lev2	elem_max_lev3	elem_max_lev4	elem_max_lev5	hit_shift	dmg_type	passive	missile	desc	src_dam	dmg_pct_calc	dmg_pct_desc	dmg_pct_base	dmg_pct_per_lvl	dmg_pct_parsed	missile_a	missile_b	missile_c
1	1	1	魔法箭	Magic Arrow	6	1	20	0	0	12	-1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	8	phys	0	magicarrow	物理伤害 1-1，法力 12（每级 -1），需求等级 1	128			0	0	1			
2	1	1	火焰箭	Fire Arrow	7	1	20	0	0	24	1	1	4	0	0	1	4	0	0	0	0	0	0	0	0	0	0	2	3	6	12	24	2	3	7	14	27	8	fire	0	firearrow	火焰伤害 1-4，法力 24（每级 +1），需求等级 1	128			0	0	1			
3	1	2	内视	Inner Sight	8	1	20	0	0	10	0	40	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	25	45	60	80	100	0	0	0	0	0	8	phys	0		辅助技能，法力 10（每级 +0），需求等级 1	0			0	0	1			
4	1	2	致命一击	Critical Strike	9	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		1		被动技能，需求等级 1	0			0	0	1			
5	1	3	戳刺	Jab	10	1	20	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		武器伤害类攻击：武器伤害 ×128/128（官方 SrcDam）+ 伤害倍率 -15%（每级 +3%），法力 8（每级 +1），需求等级 1	128	ln34	dmg%	-15	3	1			
6	1	1	寒冰箭	Cold Arrow	11	6	20	0	0	28	1	3	4	0	0	6	8	0	0	0	0	0	0	0	0	0	0	4	5	8	16	42	4	5	9	17	44	7	cold	0	coldarrow	冰冷伤害 3-4，法力 28（每级 +1），需求等级 6	128			0	0	1			
7	1	1	多重箭	Multiple Shot	12	6	20	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		武器伤害类攻击：武器伤害 ×96/128（官方 SrcDam）+ 伤害倍率 0%（每级 +0%），法力 4（每级 +1），需求等级 6	96	min(24,ln12)	# missiles	0	0	1	multipleshotarrow	multipleshotbolt	
8	1	2	闪避	Dodge	13	6	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		1		被动技能，需求等级 6	0			0	0	1			
9	1	3	强力打击	Power Strike	14	6	20	5	0	8	1	1	16	0	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	36	54	72	90	8	ltng	0		闪电伤害 1-16，法力 8（每级 +1），需求等级 6	128			0	0	1			
10	1	3	毒标枪	Poison Javelin	15	6	20	0	0	16	1	0	0	0	0	32	48	0	0	0	0	0	0	0	0	0	0	16	32	48	64	96	16	36	52	68	84	0	pois	0	poisonjav	辅助技能，法力 16（每级 +1），需求等级 6	128			0	0	1			
