scen	frame	dt	lx	ly	rx	ry	cx	cy	grid	crossed	spr	cad
line	0	0.016667	0.051000	0.025500	0.051000	0.025500	0.051000	0.025500	(0,0)	1	walk	A
line	1	0.016667	0.100000	0.050000	0.100000	0.050000	0.051000	0.025500	(0,0)	0	walk	A
line	2	0.016667	0.151000	0.075500	0.151000	0.075500	0.100000	0.050000	(0,0)	0	walk	A
line	3	0.016667	0.200000	0.100000	0.200000	0.100000	0.151000	0.075500	(0,0)	0	walk	A
line	4	0.016667	0.251000	0.125500	0.251000	0.125500	0.200000	0.100000	(0,0)	0	walk	A
line	5	0.016667	0.300000	0.150000	0.300000	0.150000	0.251000	0.125500	(0,0)	0	walk	A
line	6	0.016667	0.351000	0.175500	0.351000	0.175500	0.300000	0.150000	(0,0)	0	walk	A
line	7	0.016667	0.400000	0.200000	0.400000	0.200000	0.351000	0.175500	(0,0)	0	walk	A
line	8	0.016667	0.451000	0.225500	0.451000	0.225500	0.400000	0.200000	(0,0)	0	walk	A
line	9	0.016667	0.500000	0.250000	0.500000	0.250000	0.451000	0.225500	(0,0)	0	walk	A
line	10	0.016667	0.551000	0.275500	0.551000	0.275500	0.500000	0.250000	(0,0)	0	walk	A
line	11	0.016667	0.600000	0.300000	0.600000	0.300000	0.551000	0.275500	(0,0)	0	walk	A
line	12	0.016667	0.651000	0.325500	0.651000	0.325500	0.600000	0.300000	(0,0)	1	walk	A
line	13	0.016667	0.700000	0.350000	0.700000	0.350000	0.651000	0.325500	(0,0)	0	walk	A
line	14	0.016667	0.751000	0.375500	0.751000	0.375500	0.700000	0.350000	(0,0)	0	walk	A
line	15	0.016667	0.800000	0.400000	0.800000	0.400000	0.751000	0.375500	(0,0)	0	walk	A
line	16	0.016667	0.851000	0.425500	0.851000	0.425500	0.800000	0.400000	(0,0)	0	walk	A
line	17	0.016667	0.900000	0.450000	0.900000	0.450000	0.851000	0.425500	(0,0)	0	walk	A
line	18	0.016667	0.951000	0.475500	0.951000	0.475500	0.900000	0.450000	(0,0)	0	walk	A
line	19	0.016667	1.000000	0.500000	1.000000	0.500000	0.951000	0.475500	(1,0)	0	walk	A
line	20	0.016667	1.051000	0.525500	1.051000	0.525500	1.000000	0.500000	(1,0)	0	walk	A
line	21	0.016667	1.100000	0.550000	1.100000	0.550000	1.051000	0.525500	(1,0)	0	walk	A
line	22	0.016667	1.151000	0.575500	1.151000	0.575500	1.100000	0.550000	(1,0)	0	walk	A
line	23	0.016667	1.200000	0.600000	1.200000	0.600000	1.151000	0.575500	(1,0)	0	walk	A
line	24	0.016667	1.251000	0.625500	1.251000	0.625500	1.200000	0.600000	(1,0)	1	walk	A
line	25	0.016667	1.300000	0.650000	1.300000	0.650000	1.251000	0.625500	(1,0)	0	walk	A
line	26	0.016667	1.351000	0.675500	1.351000	0.675500	1.300000	0.650000	(1,0)	0	walk	A
line	27	0.016667	1.400000	0.700000	1.400000	0.700000	1.351000	0.675500	(1,0)	0	walk	A
line	28	0.016667	1.451000	0.725500	1.451000	0.725500	1.400000	0.700000	(1,0)	0	walk	A
line	29	0.016667	1.500000	0.750000	1.500000	0.750000	1.451000	0.725500	(1,0)	0	walk	A
line	30	0.016667	1.553550	0.776775	1.553550	0.776775	1.500000	0.750000	(1,0)	0	walk	A
line	31	0.016667	1.602550	0.801275	1.602550	0.801275	1.553550	0.776775	(1,0)	0	walk	A
line	32	0.016667	1.653550	0.826775	1.653550	0.826775	1.602550	0.801275	(1,0)	0	walk	A
line	33	0.016667	1.702550	0.851275	1.702550	0.851275	1.653550	0.826775	(1,0)	0	walk	A
line	34	0.016667	1.753550	0.876775	1.753550	0.876775	1.702550	0.851275	(1,0)	0	walk	A
