scen	frame	dt	lx	ly	rx	ry	cx	cy	grid	crossed	spr	cad
line	0	0.016667	0.050000	0.025000	0.050000	0.025000	0.050000	0.025000	(0,0)	1	walk	A
line	1	0.016667	0.100000	0.050000	0.100000	0.050000	0.050000	0.025000	(0,0)	0	walk	A
line	2	0.016667	0.150000	0.075000	0.150000	0.075000	0.100000	0.050000	(0,0)	0	walk	A
line	3	0.016667	0.200000	0.100000	0.200000	0.100000	0.150000	0.075000	(0,0)	0	walk	A
line	4	0.016667	0.250000	0.125000	0.250000	0.125000	0.200000	0.100000	(0,0)	0	walk	A
line	5	0.016667	0.300000	0.150000	0.300000	0.150000	0.250000	0.125000	(0,0)	0	walk	A
line	6	0.016667	0.350000	0.175000	0.350000	0.175000	0.300000	0.150000	(0,0)	0	walk	A
line	7	0.016667	0.400000	0.200000	0.400000	0.200000	0.350000	0.175000	(0,0)	0	walk	A
line	8	0.016667	0.450000	0.225000	0.450000	0.225000	0.400000	0.200000	(0,0)	0	walk	A
line	9	0.016667	0.500000	0.250000	0.500000	0.250000	0.450000	0.225000	(0,0)	0	walk	A
line	10	0.016667	0.550000	0.275000	0.550000	0.275000	0.500000	0.250000	(0,0)	0	walk	A
line	11	0.016667	0.600000	0.300000	0.600000	0.300000	0.550000	0.275000	(0,0)	0	walk	A
line	12	0.016667	0.650000	0.325000	0.650000	0.325000	0.600000	0.300000	(0,0)	1	walk	A
line	13	0.016667	0.700000	0.350000	0.700000	0.350000	0.650000	0.325000	(0,0)	0	walk	A
line	14	0.016667	0.750000	0.375000	0.750000	0.375000	0.700000	0.350000	(0,0)	0	walk	A
line	15	0.016667	0.800000	0.400000	0.800000	0.400000	0.750000	0.375000	(0,0)	0	walk	A
line	16	0.016667	0.850000	0.425000	0.850000	0.425000	0.800000	0.400000	(0,0)	0	walk	A
line	17	0.016667	0.900000	0.450000	0.900000	0.450000	0.850000	0.425000	(0,0)	0	walk	A
line	18	0.016667	0.950000	0.475000	0.950000	0.475000	0.900000	0.450000	(0,0)	0	walk	A
line	19	0.016667	1.000000	0.500000	1.000000	0.500000	0.950000	0.475000	(1,0)	0	walk	A
line	20	0.016667	1.050000	0.525000	1.050000	0.525000	1.000000	0.500000	(1,0)	0	walk	A
line	21	0.016667	1.100000	0.550000	1.100000	0.550000	1.050000	0.525000	(1,0)	0	walk	A
line	22	0.016667	1.150000	0.575000	1.150000	0.575000	1.100000	0.550000	(1,0)	0	walk	A
line	23	0.016667	1.200000	0.600000	1.200000	0.600000	1.150000	0.575000	(1,0)	0	walk	A
line	24	0.016667	1.250000	0.625000	1.250000	0.625000	1.200000	0.600000	(1,0)	1	walk	A
line	25	0.016667	1.300000	0.650000	1.300000	0.650000	1.250000	0.625000	(1,0)	0	walk	A
line	26	0.016667	1.350000	0.675000	1.350000	0.675000	1.300000	0.650000	(1,0)	0	walk	A
line	27	0.016667	1.400000	0.700000	1.400000	0.700000	1.350000	0.675000	(1,0)	0	walk	A
line	28	0.016667	1.450000	0.725000	1.450000	0.725000	1.400000	0.700000	(1,0)	0	walk	A
line	29	0.016667	1.500000	0.750000	1.500000	0.750000	1.450000	0.725000	(1,0)	0	walk	A
line	30	0.016667	1.550000	0.775000	1.550000	0.775000	1.500000	0.750000	(1,0)	0	walk	A
line	31	0.016667	1.600000	0.800000	1.600000	0.800000	1.550000	0.775000	(1,0)	0	walk	A
line	32	0.016667	1.650000	0.825000	1.650000	0.825000	1.600000	0.800000	(1,0)	0	walk	A
line	33	0.016667	1.700000	0.850000	1.700000	0.850000	1.650000	0.825000	(1,0)	0	walk	A
line	34	0.016667	1.750000	0.875000	1.750000	0.875000	1.700000	0.850000	(1,0)	0	walk	A
line	35	0.016667	1.800000	0.900000	1.800000	0.900000	1.750000	0.875000	(1,0)	0	walk	A
line	36	0.016667	1.850000	0.925000	1.850000	0.925000	1.800000	0.900000	(1,0)	1	walk	A
line	37	0.016667	1.900000	0.950000	1.900000	0.950000	1.850000	0.925000	(1,0)	0	walk	A
line	38	0.016667	1.950000	0.975000	1.950000	0.975000	1.900000	0.950000	(1,0)	0	walk	A
line	39	0.016667	2.000000	1.000000	2.000000	1.000000	1.950000	0.975000	(2,0)	0	walk	A
line	40	0.016667	2.050000	1.025000	2.050000	1.025000	2.000000	1.000000	(2,0)	0	walk	A
line	41	0.016667	2.100000	1.050000	2.100000	1.050000	2.050000	1.025000	(2,0)	0	walk	A
line	42	0.016667	2.150000	1.075000	2.150000	1.075000	2.100000	1.050000	(2,0)	0	walk	A
line	43	0.016667	2.200000	1.100000	2.200000	1.100000	2.150000	1.075000	(2,0)	0	walk	A
line	44	0.016667	2.250000	1.125000	2.250000	1.125000	2.200000	1.100000	(2,0)	0	walk	A
line	45	0.016667	2.300000	1.150000	2.300000	1.150000	2.250000	1.125000	(2,0)	0	walk	A
line	46	0.016667	2.350000	1.175000	2.350000	1.175000	2.300000	1.150000	(2,0)	0	walk	A
line	47	0.016667	2.400000	1.200000	2.400000	1.200000	2.350000	1.175000	(2,0)	0	walk	A
line	48	0.016667	2.450000	1.225000	2.450000	1.225000	2.400000	1.200000	(2,0)	1	walk	A
line	49	0.016667	2.500000	1.250000	2.500000	1.250000	2.450000	1.225000	(2,0)	0	walk	A
line	50	0.016667	2.550000	1.275000	2.550000	1.275000	2.500000	1.250000	(2,0)	0	walk	A
line	51	0.016667	2.600000	1.300000	2.600000	1.300000	2.550000	1.275000	(2,0)	0	walk	A
line	52	0.016667	2.650000	1.325000	2.650000	1.325000	2.600000	1.300000	(2,0)	0	walk	A
line	53	0.016667	2.700000	1.350000	2.700000	1.350000	2.650000	1.325000	(2,0)	0	walk	A
line	54	0.016667	2.750000	1.375000	2.750000	1.375000	2.700000	1.350000	(2,0)	0	walk	A
line	55	0.016667	2.800000	1.400000	2.800000	1.400000	2.750000	1.375000	(2,0)	0	walk	A
line	56	0.016667	2.850000	1.425000	2.850000	1.425000	2.800000	1.400000	(2,0)	0	walk	A
line	57	0.016667	2.900000	1.450000	2.900000	1.450000	2.850000	1.425000	(2,0)	0	walk	A
line	58	0.016667	2.950000	1.475000	2.950000	1.475000	2.900000	1.450000	(2,0)	0	walk	A
line	59	0.016667	3.000000	1.500000	3.000000	1.500000	2.950000	1.475000	(2,0)	0	walk	A
line	60	0.016667	3.050000	1.525000	3.050000	1.525000	3.000000	1.500000	(3,0)	1	walk	A
line	61	0.016667	3.100000	1.550000	3.100000	1.550000	3.050000	1.525000	(3,0)	0	walk	A
line	62	0.016667	3.150000	1.575000	3.150000	1.575000	3.100000	1.550000	(3,0)	0	walk	A
line	63	0.016667	3.200000	1.600000	3.200000	1.600000	3.150000	1.575000	(3,0)	0	walk	A
line	64	0.016667	3.250000	1.625000	3.250000	1.625000	3.200000	1.600000	(3,0)	0	walk	A
line	65	0.016667	3.300000	1.650000	3.300000	1.650000	3.250000	1.625000	(3,0)	0	walk	A
line	66	0.016667	3.350000	1.675000	3.350000	1.675000	3.300000	1.650000	(3,0)	0	walk	A
line	67	0.016667	3.400000	1.700000	3.400000	1.700000	3.350000	1.675000	(3,0)	0	walk	A
line	68	0.016667	3.450000	1.725000	3.450000	1.725000	3.400000	1.700000	(3,0)	0	walk	A
line	69	0.016667	3.500000	1.750000	3.500000	1.750000	3.450000	1.725000	(3,0)	0	walk	A
line	70	0.016667	3.550000	1.775000	3.550000	1.775000	3.500000	1.750000	(3,0)	0	walk	A
line	71	0.016667	3.600000	1.800000	3.600000	1.800000	3.550000	1.775000	(3,0)	0	walk	A
line	72	0.016667	3.650000	1.825000	3.650000	1.825000	3.600000	1.800000	(3,0)	1	walk	A
line	73	0.016667	3.700000	1.850000	3.700000	1.850000	3.650000	1.825000	(3,0)	0	walk	A
line	74	0.016667	3.750000	1.875000	3.750000	1.875000	3.700000	1.850000	(3,0)	0	walk	A
line	75	0.016667	3.800000	1.900000	3.800000	1.900000	3.750000	1.875000	(3,0)	0	walk	A
line	76	0.016667	3.850000	1.925000	3.850000	1.925000	3.800000	1.900000	(3,0)	0	walk	A
line	77	0.016667	3.900000	1.950000	3.900000	1.950000	3.850000	1.925000	(3,0)	0	walk	A
line	78	0.016667	3.950000	1.975000	3.950000	1.975000	3.900000	1.950000	(3,0)	0	walk	A
line	79	0.016667	4.000000	2.000000	4.000000	2.000000	3.950000	1.975000	(3,0)	0	walk	A
