# D10 玩法系统（sys:*）三态 ← 既有离线宿主的断言与本次实测值
# 生成：python tools/probes/enumerate/host_asserts.py --run（只读宿主，不改任何 client/**）
# 列：sys	状态	宿主	断言名	实测值	宿主源码(文件:行)	宿主输出(文件:行)
sys:Audio(6 cs)	默认分支	audiocheck	进图未收到过 AreaChanged⇒ 按 Town 起 BGM	town	tools/probes/hosts/audiocheck/Program.cs:452	audiocheck.txt:127
sys:Audio(6 cs)	边界值（阈值±1 / 0 / 上限 / 超界）	audiocheck	刚起步不到 1 步的时间间隔内不出脚步（静止时累积已清零）	实测 0 次	tools/probes/hosts/audiocheck/Program.cs:513	audiocheck.txt:139
sys:Audio(6 cs)	异常分支（必须留痕）	audiocheck	空载荷 / 空键不抛异常（走了 Warn 降级分支）	见上方 [Audio] 日志	tools/probes/hosts/audiocheck/Program.cs:457	audiocheck.txt:130
sys:Camera(1 cs)	默认分支	playercheck	吸附后机位 = 焦点正前方（z = -10）	Position=(4.00, -30.50, -10.00) 期望 (4.00, -30.50, -10.00)	tools/probes/hosts/playercheck/Program.cs:1011	playercheck.txt:516
sys:Camera(1 cs)	边界值（阈值±1 / 0 / 上限 / 超界）	playercheck	缩放上限被钳制到 12	size=12	tools/probes/hosts/playercheck/Program.cs:1076	playercheck.txt:534
sys:Camera(1 cs)	异常分支（必须留痕）	playercheck	继续缩小不生效并 Warn（只报一次）	[WARN ] [Camera] 缩放已到边界 [3, 12]（当前 3），本次 -1 被忽略（只报一次）	tools/probes/hosts/playercheck/Program.cs:1073	playercheck.txt:532
sys:Combat(6 cs)	默认分支	combatcheck	物理伤害 = 武器+ 武器 ×	力×StrBonus/100 + 敏×DexBonus/100 + 技能ED%)/100（官方整数截断口径）   (20/25/9/17	tools/probes/hosts/combatcheck/Program.cs:195	combatcheck.txt:22
sys:Combat(6 cs)	边界值（阈值±1 / 0 / 上限 / 超界）	combatcheck	命中率：被夹在 5%~95%	5.00/95.00	tools/probes/hosts/combatcheck/Program.cs:222	combatcheck.txt:33
sys:Combat(6 cs)	异常分支（必须留痕）	combatcheck	冷却期内再施放 = false，且不再扣蓝	mana=45	tools/probes/hosts/combatcheck/Program.cs:905	combatcheck.txt:908
sys:Flow(7 cs)	默认分支	flowcheck	→ Boot 恰好 1 条（站点日志不翻倍）	count=1	tools/probes/hosts/flowcheck/Program.cs:383	flowcheck.txt:12
