grid	state	category	expectation	screenshot	show_this_number	log_evidence(verbatim)	script_verdict
G1	boot screen	presentation	boot/start screen: original DIABLO II logo + byline row at the bottom (readable)	Assets/Screenshots/p41_01_boot.png	1920x1080 75KB	[2026-09-20 01:08:04.885] [Info] [P41] BOOT scene= fsm=Boot screen=1920x1080 focused=1 runInBackground=1 || [2026-09-20 01:08:04.904] [Info] [P41] BYLINE where=boot present=1 path=[UI]/Normal/BootPanel(Clone)/ScreenFit/ByLine text="by clover-engine" tier=Font24 size=43 color=0.78,0.76,0.72 active=1 ok=1 || [2026-09-20 01:08:05.147] [Info] [P41] SHOT-OK n=1 state=boot name=p41_01_boot.png kind=screen bytes=76934 path=C:/Work/Server/full-dev/clover-project-diablo2/.ai-tmp/test/raw/p41_01_boot.png	PASS
G2	boot byline zoom	presentation(crop of G1)	'by clover-engine' really is drawn at the bottom of the FIRST screen (font24 tier)	Assets/Screenshots/p41_01_boot.png	1920x1080 75KB	[2026-09-20 01:08:04.904] [Info] [P41] BYLINE where=boot present=1 path=[UI]/Normal/BootPanel(Clone)/ScreenFit/ByLine text="by clover-engine" tier=Font24 size=43 color=0.78,0.76,0.72 active=1 ok=1	PASS
G3	main menu	presentation	main menu draws ONLY SINGLE PLAYER / EXIT (the two unshipped items are gone; the original slots are NOT re-filled) + the byline row at the bottom	Assets/Screenshots/p41_02_menu.png	log-pattern-miss[\[P41\] MENU-TEXTS labelTexts=\[EXIT,SINGLE PL]  active buttons names=[Quit,Single] (expected Quit,Single) 1920x1080 566KB	[2026-09-20 01:08:08.212] [Info] [P41] MENU scene=Menu fsm=MainMenu || [2026-09-20 01:08:08.220] [Info] [P41] MENU-FORBIDDEN multiplayerOrCinematics=0 expected=0 || [2026-09-20 01:08:08.481] [Info] [P41] SHOT-OK n=2 state=menu name=p41_02_menu.png kind=screen bytes=580090 path=C:/Work/Server/full-dev/clover-project-diablo2/.ai-tmp/test/raw/p41_02_menu.png	FAIL
G4	menu byline zoom	presentation(crop of G3)	'by clover-engine' on the main menu (this row did not exist before this round)	Assets/Screenshots/p41_02_menu.png	1920x1080 566KB	[2026-09-20 01:08:08.217] [Info] [P41] BYLINE where=menu present=1 path=[UI]/Normal/MainMenuPanel(Clone)/ScreenFit/ByLine text="by clover-engine" tier=Font24 size=43 color=0.78,0.76,0.72 active=1 ok=1	PASS
G5	Rogue Encampment	presentation	town at the SHIPPED framing: one screen is about 7.5 grid rows (ortho 3.75), new 56x40 window layout	Assets/Screenshots/p41_03_town.png	ortho rig=3.75 cam=3.75 visibleWorldH=7.5 1920x1080 764KB	[2026-09-20 01:08:16.303] [Info] [P41] TOWN area=Town map=56x40 seed=347295864 spawn=(32,28) walkable=1528 blocked=712 exits=[(17,26),(17,27),(17,28)] npcPoints=5 || [2026-09-20 01:08:16.307] [Info] [P41] OSIZE rigValue=3.75 camValue=3.75 visibleWorldH=7.5 tileSize=1 visibleGridRows=7.5 aspect=1.7778 camPos=(4.00,-30.50) playerWorld=(4.00,-30.50) || [2026-09-20 01:08:16.553] [Info] [P41] SHOT-OK n=3 state=town name=p41_03_town.png kind=camera bytes=782641 path=C:/Work/Server/full-dev/clover-project-diablo2/.ai-tmp/test/raw/p41_03_town.png	PASS
G6	town wide (probe ortho)	presentation	whole 56x40 level in one frame (probe-only ortho 12 = CameraRig.MaxOrthographicSize, so the new window origin and the inland exit can be seen)	Assets/Screenshots/p41_04_town_wide.png	1920x1080 2453KB	[2026-09-20 01:08:17.109] [Info] [P41] WIDE-SHOT which=town orthoOverride=12 overrideOk=1 anchor=levelCentre center=(28,20) camPos=(8.00,-24.50) visibleWorld=42.7x24.0 aliveInFrame=0 note=probe-only (shipped value is 3.75; restored right after this tile) || [2026-09-20 01:08:18.432] [Info] [P41] SHOT-OK n=4 state=town-wide name=p41_04_town_wide.png kind=camera bytes=2512588 path=C:/Work/Server/full-dev/clover-project-diablo2/.ai-tmp/test/raw/p41_04_town_wide.png	PASS
G7	exit gap close-up	presentation	the town exit (17,26..28) is original town_floor dirt road with ground OUTSIDE it - not a black gap and not a cyan block	Assets/Screenshots/p41_05_town_exit.png	exit cell tile keys matched 3/3 (expect town_floor/035,054,052)	[2026-09-20 01:08:24.469] [Info] [P41] WALKTO target=(19,27) arrived=1 grid=(19,27) || [2026-09-20 01:08:25.394] [Info] [P41] SHOT-OK n=5 state=town-exit name=p41_05_town_exit.png kind=camera bytes=1077607 path=C:/Work/Server/full-dev/clover-project-diablo2/.ai-tmp/test/raw/p41_05_town_exit.png	PASS
G8	Blood Moor	presentation	wilderness at the shipped framing (player just stepped through the exit): original tiles, monsters around	Assets/Screenshots/p41_06_wild.png	AliveCount=39.0 (expected band 20..90, mean 41.9) 1920x1080 789KB	[2026-09-20 01:08:29.225] [Info] [P41] WILD area=BloodMoor map=80x80 seed=511126015 spawn=(1,52) walkable=4568 blocked=1832 exits=[(0,52),(79,36)] caveEntrance=(79,36) monsterSpawnPoints=0 || [2026-09-20 01:08:29.225] [Info] [P41] MONSTERS aliveCount=39 aliveRows=39 rows=39 inOneScreen=0 within20Cells=4 walkable=4568 expectedFromMonDen=43.5 formula=walkable*520/100000*1.83 || [2026-09-20 01:08:29.400] [Info] [P41] SHOT-OK n=6 state=wild name=p41_06_wild.png kind=camera bytes=808790 path=C:/Work/Server/full-dev/clover-project-diablo2/.ai-tmp/test/raw/p41_06_wild.png	PASS
G9	wilderness wide (probe ortho)	presentation	a whole slice of the 80x80 map in one frame: the map is many screens big and the monsters are spread over it (probe-only ortho 12)	Assets/Screenshots/p41_07_wild_wide.png	monsters inside this very frame=0.0 (map-wide alive=39.0) 1920x1080 3025KB	[2026-09-20 01:08:29.866] [Info] [P41] WIDE-SHOT which=wild orthoOverride=12 overrideOk=1 anchor=monsterCentroid(n=39) center=(39,43) camPos=(-4.00,-41.50) visibleWorld=42.7x24.0 aliveInFrame=5 note=probe-only (shipped value is 3.75; restored right after this tile) || [2026-09-20 01:08:31.167] [Info] [P41] SHOT-OK n=7 state=wild-wide name=p41_07_wild_wide.png kind=camera bytes=3097997 path=C:/Work/Server/full-dev/clover-project-diablo2/.ai-tmp/test/raw/p41_07_wild_wide.png	PASS
G10	walk S (south)	presentation	the sprite really faces the walked direction: logical Dir == S AND the frame key is walk_s_* (the direction mapping that used to be off by one step)	Assets/Screenshots/p41_08_dir_s.png	DIR-SHOT n=1 tile=p41_08_dir_s.png want=S dir=S dirOk=1 key=D2/Chars/amazon/run_s_1 keyOk=1 sprite=run_s_1 spriteOk=1 moving=1 grid=(38,38) anim=Run k	[2026-09-20 01:08:40.289] [Info] [P41] DIR-SHOT n=1 tile=p41_08_dir_s.png want=S dir=S dirOk=1 key=D2/Chars/amazon/run_s_1 keyOk=1 sprite=run_s_1 spriteOk=1 moving=1 grid=(38,38) anim=Run key=D2/Chars/amazon/run_s_1 frame=1/8 baseFps=24 speedScale=1 loop=True || [2026-09-20 01:08:40.282] [Info] [P41] SHOT-OK n=20 state=dir-S name=p41_08_dir_s.png kind=camera bytes=1106510 path=C:/Work/Server/full-dev/clover-project-diablo2/.ai-tmp/test/raw/p41_08_dir_s.png	PASS
