区域	层	素材键	路径	文件	尺寸	不透明像素	唯一色	判决
Town	floor	moor_bridge/020	D2/Tiles/moor_bridge/020	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/021	D2/Tiles/moor_bridge/021	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/022	D2/Tiles/moor_bridge/022	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/023	D2/Tiles/moor_bridge/023	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/024	D2/Tiles/moor_bridge/024	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/025	D2/Tiles/moor_bridge/025	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/026	D2/Tiles/moor_bridge/026	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/027	D2/Tiles/moor_bridge/027	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/028	D2/Tiles/moor_bridge/028	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/029	D2/Tiles/moor_bridge/029	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/030	D2/Tiles/moor_bridge/030	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/031	D2/Tiles/moor_bridge/031	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/032	D2/Tiles/moor_bridge/032	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/033	D2/Tiles/moor_bridge/033	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/034	D2/Tiles/moor_bridge/034	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/035	D2/Tiles/moor_bridge/035	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/036	D2/Tiles/moor_bridge/036	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/037	D2/Tiles/moor_bridge/037	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/038	D2/Tiles/moor_bridge/038	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/039	D2/Tiles/moor_bridge/039	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/040	D2/Tiles/moor_bridge/040	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/041	D2/Tiles/moor_bridge/041	在盘	160x128	6400	2	ok
